date,open,high,low,close,volume
2025-12-03,21200,22200,20050,21750,249429
2025-12-04,20000,21500,18650,18830,201570
2025-12-05,19960,20000,17840,18380,217759
2025-12-08,18310,18510,17190,17960,183503
2025-12-09,18060,19490,17620,19190,134722
2025-12-10,19190,21100,18990,20500,234926
2025-12-11,20500,21200,19500,19500,98729
2025-12-12,20000,20800,18720,20800,103806
2025-12-15,20350,20450,19500,20050,72816
2025-12-16,20050,20700,19520,20150,84931
2025-12-17,20450,21900,19570,21300,100445
2025-12-18,20700,21650,19950,20500,162588
2025-12-19,20550,22550,19990,21450,296053
2025-12-22,22200,27450,22200,26300,1132439
2025-12-23,27200,27200,24150,24800,275716
2025-12-24,24800,25300,23600,24000,156854
2025-12-26,24000,25500,23100,23300,159888
2025-12-29,23850,23850,22200,23100,164825
2025-12-30,23100,23250,22000,22850,136118
2026-01-02,22950,26200,22450,25550,299069
2026-01-05,25750,26350,24600,25350,166622
2026-01-06,25000,25900,24000,24300,149701
2026-01-07,26250,28100,24150,24850,562935
2026-01-08,25100,25600,23400,23600,220459
2026-01-09,23000,24850,22200,23650,284923
2026-01-12,23650,25550,22900,24350,198837
2026-01-13,24150,24600,23500,24150,169968
2026-01-14,24200,25500,23100,24700,197411
2026-01-15,23950,24750,23400,24350,164127
2026-01-16,24400,24850,23550,23850,176616
2026-01-19,23950,24250,22450,22600,292610
2026-01-20,22400,24450,20850,23300,440376
2026-01-21,22700,24750,22100,24700,239464
2026-01-22,25550,26100,23950,25400,282344
2026-01-23,25350,28600,24250,28600,444167
2026-01-26,28700,32600,28150,31850,629766
2026-01-27,31100,31400,29650,30700,265126
2026-01-28,31850,34250,31200,31750,329966
2026-01-29,31750,33600,31500,33400,243827
2026-01-30,33450,34900,31700,32700,240911
2026-02-02,32500,35200,31850,33200,251219
2026-02-03,34150,39300,34150,37800,361919
2026-02-04,39900,41600,37650,38950,377706
2026-02-05,37750,41500,37750,38650,247301
2026-02-06,37750,38650,34850,37200,222537
2026-02-09,38500,43300,38300,40350,286754
2026-02-10,41400,41800,38950,40900,154163
2026-02-11,40600,43000,40000,41800,159574
2026-02-12,41800,45950,41300,43100,281936
2026-02-13,42200,42900,39000,39400,270902
2026-02-19,39600,40450,36750,38500,344970
2026-02-20,39250,46250,38850,45000,448930
2026-02-23,45050,48650,44450,46250,277474
2026-02-24,46250,47000,41950,43000,242534
2026-02-25,43550,45450,41600,42350,262091
2026-02-26,42950,44300,40750,42250,194258
2026-02-27,42000,42800,40600,42800,126536
2026-03-03,46200,55600,46000,51500,1004963
2026-03-04,54600,54900,41000,42300,727690
2026-03-05,48200,49450,45000,48650,288228
2026-03-06,48750,52500,45500,51900,406449
2026-03-09,49700,50600,43300,46800,377298
2026-03-10,52900,60800,50100,60800,1043519
2026-03-11,64500,69400,60000,66500,1181330
2026-03-12,65500,69800,61500,64400,355772
2026-03-13,63300,70500,62700,68800,402245
2026-03-16,69400,70500,64500,65000,248960
2026-03-17,66000,67000,56000,56300,759250
2026-03-18,57400,57500,53400,55700,423075
2026-03-19,55700,64500,54900,60500,857849
2026-03-20,63100,75950,62000,73900,816034
2026-03-23,69700,70900,61700,63200,353194
2026-03-24,68500,69000,58500,62000,273395
2026-03-25,67200,72700,66100,70600,349099
2026-03-26,70600,73200,67000,68500,182543
2026-03-27,65000,72900,63600,68000,207493
2026-03-30,63200,72700,61200,70000,213992
2026-03-31,67800,70700,61000,61900,240409
2026-04-01,64800,74000,64800,69600,300746
2026-04-02,72100,73200,64900,68900,214639
2026-04-03,80200,82500,73000,76400,336846
2026-04-06,78100,92900,76400,79500,387101
2026-04-07,79500,79600,70500,73800,222508
2026-04-08,85000,85200,67800,71800,775907
2026-04-09,69500,78450,69200,75700,620118
2026-04-10,76300,96600,73100,92700,732426
2026-04-13,91100,94300,87000,89200,481500
2026-04-14,92100,104800,85700,101800,496409
2026-04-15,103100,107100,95000,97000,402578
2026-04-16,97400,98800,90000,96200,358312
2026-04-17,98500,109500,97300,100900,494515
2026-04-20,101400,116900,99900,106800,444364
2026-04-21,107800,109400,102200,107300,215698
2026-04-22,107300,107800,99600,101600,228456
2026-04-23,101600,103800,83900,89500,863885
2026-04-24,89900,93700,86100,92300,321488
2026-04-27,93000,99800,87600,92300,383171
2026-04-28,91900,91900,80200,89100,485251
2026-04-29,87700,90900,83300,87400,275790
2026-04-30,91500,96900,90300,95200,384372
